"sample_Forward reads"	"raw.all_Forward reads"	"raw.Uniq_Forward reads"	"afterTrim.all_Forward reads"	"afterTrim.Uniq_Forward reads"	"afterDenoise.all_Forward reads"	"afterDenoise.Uniq_Forward reads"	"afterMerge.all_Forward reads"	"afterMerge.Uniq_Forward reads"	"afterBimera.all_Forward reads"	"afterBimera.Uniq_Forward reads"
"10-D64AM"	63685	10283	60661	7910	60504	818	56821	691	49010	90
"4-D4PM"	63771	14307	58793	11724	58446	1200	53618	998	42686	127
"6-D22AM"	64126	11775	61089	10019	60800	1086	57627	918	48723	125
"9-D44AM"	64221	9517	60529	7147	60485	498	57649	405	51310	43
"6-D22PM"	64286	12997	57527	10135	57209	987	52015	731	46628	117
"3-D1PM"	64305	12649	57400	9470	57284	487	50992	359	44313	62
"10-D10"	64397	13862	60738	11557	60556	970	56196	818	46843	88
"4-D3PM"	64455	14214	56987	10703	56861	812	49335	573	43792	101
"3-D61"	64467	14895	60050	11284	59706	1262	54898	1098	43189	114
"6-D10"	64479	13771	60917	11470	60709	1007	57009	864	48784	109
"3-D44PM"	64521	14034	60704	11317	60586	1065	55380	912	43993	68
"10-D51AM"	64558	10644	61403	8792	61260	904	57591	770	48032	79
"2-D43AM"	64578	12313	59893	9447	59722	794	55386	680	45068	57
"2-D44AM"	64635	12803	59292	9884	59198	797	52336	656	41928	51
"3-D35AM"	64801	17186	60849	14006	60426	1481	55341	1267	42400	134
"5-D51AM"	64814	13098	60971	10627	60645	1212	56530	1003	43770	80
"7-D44AM"	65199	10399	61475	7982	61432	544	58289	440	51414	45
"4-D11"	65219	18054	59910	14415	59581	1275	54202	1042	43559	113
"5-D45PM"	65284	10642	61144	8425	61038	772	57592	653	46668	49
"5-D43PM"	65424	12104	60353	9311	60204	662	55248	567	44213	39
"8-D0PM"	65424	11108	59951	8226	59633	436	46864	339	39607	75
"2-D1PM"	65456	14160	56577	10504	56430	537	49333	406	42786	61
"10-D23PM"	65500	10687	55254	7643	54979	857	50103	548	46261	115
"4-D42AM"	65790	14822	58166	10808	57961	1049	54052	858	44032	64
"1-D3AM"	65842	14467	58837	11103	58618	996	50962	710	41809	94
"10-D30AM"	65905	12994	61249	10504	61103	864	56641	708	47801	101
"5-D2PM"	65926	12980	60192	10050	59964	950	54232	749	46912	91
"5-D45AM"	66035	11579	62172	8982	61958	858	58827	730	46611	51
"10-D57AM"	66102	13476	62336	10542	62037	889	56090	706	45690	92
"7-D23PM"	66109	11948	60831	9649	60472	1031	56455	788	49722	119
"3-D31AM"	66110	19067	60602	15024	60280	1450	53308	1236	42741	126
"6-D54"	66122	13169	60253	10248	60037	855	51431	676	44906	100
"2-D22PM"	66162	15256	62758	12784	62110	1379	58326	1160	49538	162
"2-D50AM"	66306	9763	62014	7663	61840	764	57604	628	51120	87
"4-D42PM"	66454	14801	61768	11542	61524	1159	56007	990	44406	57
"3-D10"	66459	16946	60972	13498	60584	1332	54633	1059	42376	123
"1-D2AM"	66674	15802	60328	12350	60083	831	52963	658	42647	87
"7-D31AM"	66775	13972	62513	11467	62325	928	57215	777	47472	95
"7-D58PM"	66830	12299	63404	9618	63145	959	58442	803	47270	87
"1-D1AM"	66832	12692	60507	9799	60249	584	48652	469	41605	55
"9-D22PM"	66953	13168	62456	10943	62152	1104	58032	895	50669	139
"5-D30AM"	67019	14292	61442	11284	61306	1033	55915	847	47887	98
"2-D30PM"	67146	16070	61604	12451	61386	1293	56191	1060	47680	116
"4-D59PM"	67204	10507	64631	8691	64276	938	59097	775	46703	86
"5-D57PM"	67287	16501	61869	12047	61484	1036	54451	879	41183	81
"2-D22AM"	67419	15404	64093	12904	63382	1381	59716	1157	51432	163
"10-D61"	67495	13206	63670	10265	63424	982	58002	804	47043	86
"9-D43PM"	67650	11278	63755	8461	63714	524	60396	451	53917	46
"5-D57AM"	67921	14963	62845	11310	62473	1141	56045	943	43716	93
"10-D62"	67952	12418	64340	9585	64156	934	59678	794	50158	93
"8-D58PM"	68052	11906	64302	8980	64136	776	59911	646	49751	81
"8-D57AM"	68066	13713	64006	10360	63708	951	58947	802	48066	109
"10-D63"	68096	14258	65119	11723	64812	1470	60249	1296	44966	111
"10-D25"	68124	10563	64995	8763	64624	891	61537	705	56452	146
"4-D57AM"	68132	13902	63868	10480	63549	1024	57638	854	45677	94
"9-D25"	68154	9939	64445	8278	64177	903	61730	721	55963	126
"3-D9"	68187	18604	62266	14524	61914	1265	56168	1015	44448	110
"3-D62"	68268	13527	64483	10658	64161	1214	59200	1028	47773	109
"8-D10"	68321	15003	62855	12041	62658	1015	56821	803	46970	96
"9-D23PM"	68341	12247	61978	9780	61549	996	57176	727	50406	130
"7-D28PM"	68350	13999	65079	11932	64613	998	60127	807	52741	127
"7-D64PM"	68365	10309	65408	8132	65234	903	61228	764	52277	93
"2-D30AM"	68367	17459	62472	13701	62170	1443	56149	1196	45218	123
"3-D43AM"	68392	15509	64200	12295	63902	1187	58195	1009	44752	58
"8-D59AM"	68557	12052	65815	9942	65504	1047	60836	869	46912	98
"2-D45AM"	68592	12882	64904	10587	64806	863	59279	728	47473	58
"7-D63"	68668	12137	65762	9845	65521	993	60850	846	47964	83
"6-D58PM"	68724	13688	64872	10598	64648	892	58520	746	46744	81
"7-D64AM"	68965	11022	65740	8590	65553	868	60999	737	50934	87
"5-D28AM"	69036	14947	65312	12166	64753	1069	60572	888	53633	133
"5-D50AM"	69072	14848	64687	11981	64411	1220	59382	1025	44642	87
"2-D58AM"	69329	18088	64053	13634	63656	1263	57331	1062	43175	114
"10-D29PM"	69448	14137	64813	11486	64629	933	59499	776	49486	105
"8-D23AM"	69556	11226	64939	9096	64711	944	61265	735	54462	121
"4-D50PM"	69678	15679	65637	12887	65292	1308	59128	1110	45805	93
"7-D23AM"	69691	12339	66084	10424	65795	1082	62246	890	54754	135
"4-D44PM"	69706	15728	65393	12837	65150	1178	58488	986	43559	64
"10-D1AM"	69752	13476	63602	10549	63373	545	55791	385	49806	84
"5-D36AM"	69897	14304	62955	11006	62645	939	57916	772	48103	88
"5-D59PM"	69955	15826	65102	12019	64730	1089	58406	916	44648	94
"8-D59PM"	69985	14118	65573	10849	65337	948	58443	760	47029	87
"2-D2PM"	70012	14033	63474	10852	63150	1009	56173	724	47128	90
"9-D1AM"	70055	12541	63427	9464	63312	490	57858	360	52607	85
"3-D2PM"	70091	14896	64008	11855	63720	1055	57574	831	47401	108
"2-D29AM"	70128	17378	63666	13861	63264	1381	57005	1132	45828	107
"6-D1PM"	70132	12327	63834	9510	63714	597	58366	470	51301	110
"9-D24"	70144	9043	65332	7219	65102	837	62382	607	56908	109
"10-D54"	70281	11892	64385	9645	64028	992	57470	778	47347	99
"7-D31PM"	70307	12312	66508	10147	66313	966	62727	835	51884	100
"6-D52PM"	70390	13263	65750	10750	65608	896	59992	723	50598	81
"9-D60PM"	70428	10720	67902	8817	67623	973	63848	824	49815	94
"4-D4AM"	70690	15021	62871	11459	62726	947	54631	703	46132	102
"7-D25"	70716	13375	67357	11257	66917	1071	63621	871	55525	125
"6-D62"	70816	13685	66501	10198	66277	813	60840	662	51852	80
"5-D52AM"	70860	15546	65049	12042	64901	977	58125	804	48620	76
"3-D3PM"	70926	16861	62138	12714	61878	968	52736	685	46130	116
"2-D3PM"	70996	13821	64282	10747	64083	1094	58004	823	48528	110
"9-D52AM"	71090	11623	64578	9133	64487	777	58447	595	51381	77
"7-D22AM"	71121	13142	67779	11244	67393	1130	63780	930	53569	112
"4-D5"	71127	15993	65693	13015	65196	1308	59325	1061	46133	129
"6-D43AM"	71147	13454	66681	10297	66551	732	62359	630	52649	60
"6-D59AM"	71174	12276	67629	9623	67292	801	60433	654	48468	72
"2-D5"	71292	14468	65522	11435	65227	1133	60814	919	50790	116
"4-D7"	71317	18500	63845	14204	63381	1287	56698	998	46094	142
"1-D4PM"	71323	17847	64106	13896	63764	1249	55986	944	45637	126
"3-D22AM"	71587	17620	67975	14783	67223	1545	62810	1289	52267	179
"8-D35AM"	71672	13215	66734	10840	66482	1112	62055	904	51019	103
"2-D50PM"	71715	14171	66573	11136	66265	920	59617	746	50741	91
"7-D35AM"	71919	12901	67101	10402	66941	976	63040	833	51642	93
"7-D58AM"	71944	13284	68220	10482	67990	982	61328	827	49701	81
"3-D31PM"	72033	16588	67882	13689	67550	1573	62490	1331	48940	126
"9-D10"	72038	15020	67712	12453	67517	1092	62828	919	52493	102
"4-D35PM"	72071	19049	65877	15048	65539	1446	58680	1197	47248	120
"4-D23AM"	72073	17746	66580	14515	65795	1333	60397	1034	51590	134
"10-D31PM"	72102	12764	67336	10304	67144	994	62822	836	52111	94
"7-D1AM"	72106	13174	65358	9993	65217	513	58447	380	53258	101
"4-D30AM"	72236	15508	65994	12005	65863	1157	60563	963	51773	113
"8-D50PM"	72258	13591	68054	11098	67877	946	63335	788	52904	83
"5-D53"	72289	18785	65078	13802	64758	1110	58015	947	44572	85
"2-D35AM"	72298	16014	67858	12923	67585	1400	62492	1214	50290	114
"1-D4AM"	72461	16354	64487	12224	64293	965	56548	706	49400	114
"3-D32"	72481	16336	67963	13238	67648	1488	62731	1275	48988	121
"2-D25"	72728	13948	68884	11345	68329	1152	65009	941	57773	125
"10-D59PM"	72829	14771	68218	11226	67949	983	62117	817	50049	88
"2-D6"	72854	18261	66229	14378	65843	1202	59262	974	48487	126
"9-D57PM"	73018	15420	68214	11533	67895	900	61014	739	50046	100
"7-D52PM"	73183	13949	68557	11468	68396	906	62054	742	52156	75
"8-D25"	73332	12586	70195	10672	69717	1044	66704	849	57290	118
"6-D1AM"	73423	13782	66205	10364	66070	513	60474	380	55766	98
"8-D44AM"	73446	11506	69183	8658	69114	524	65652	444	57521	37
"8-D30AM"	73473	13273	68081	10390	67954	798	63207	645	54414	105
"8-D63"	73590	12312	70723	10014	70443	1083	66431	939	53130	86
"6-D2PM"	73612	13595	67509	10629	67296	858	63040	709	53403	135
"6-D50PM"	73724	13389	69644	10917	69499	946	64625	782	53226	76
"4-D51AM"	73802	14200	68943	11329	68690	1094	62620	904	50853	84
"10-D57PM"	73823	17074	68893	13104	68562	946	59535	769	47692	100
"5-D3AM"	74078	15959	66512	12361	66198	1147	58221	851	48717	115
"7-D30PM"	74126	17337	68983	14274	68733	1046	62155	885	49184	103
"4-D52PM"	74237	14025	69672	11241	69432	1037	63673	863	54076	101
"2-D42PM"	74421	16808	69077	12996	68830	1056	63344	921	48551	61
"2-D29PM"	74423	18572	68895	14964	68492	1430	62533	1202	51770	113
"7-D43PM"	74591	11203	70702	8704	70614	659	67230	534	59426	55
"5-D52PM"	74725	17341	67419	13261	67121	1181	58407	969	46031	84
"3-D7"	74797	18201	67424	14358	67046	1309	57668	984	46884	131
"5-D2AM"	74840	16707	68130	13135	67914	975	60936	758	50338	100
"4-D31AM"	74889	22457	69242	18257	68733	1705	60889	1429	45327	129
"7-D8"	74922	15493	70001	12734	69821	989	65221	817	52897	85
"3-D3AM"	75013	15988	66736	12264	66408	1175	58268	869	49416	123
"6-D60AM"	75195	13588	70369	10139	70065	754	62396	592	54019	76
"9-D60AM"	75393	12390	72221	9923	71914	993	66794	853	53498	91
"8-D1AM"	75571	14312	66966	10624	66746	520	57900	329	52806	93
"6-D51PM"	75595	11273	71466	9294	71306	1002	67266	817	55398	76
"2-D61"	75670	18027	70274	13619	69885	1257	63768	1077	48488	106
"3-D11"	75702	18806	70954	15167	70622	1365	65465	1159	52727	144
"8-D58AM"	75735	15127	71411	11591	71131	1032	65453	844	52445	99
"8-D52PM"	75976	13842	71520	11302	71286	979	65967	808	55866	97
"8-D1PM"	76068	16522	69235	12819	68960	708	63210	556	54725	121
"5-D31PM"	76233	18908	70374	15240	69854	1519	63990	1267	49841	124
"3-D25"	76245	15650	70848	12543	70289	1233	65809	988	56181	124
"2-D60PM"	76274	15255	72846	12578	72479	1516	65222	1262	50969	132
"2-D4PM"	76286	17110	68417	12921	68101	1215	61370	895	51682	114
"10-D22AM"	76404	12600	72204	10475	71911	1065	68536	883	59873	121
"4-D58AM"	76480	13228	72149	9924	71846	839	67099	713	55800	84
"10-D58AM"	76575	15095	72331	11969	71860	1006	63344	816	49821	96
"2-D53"	76736	18883	68693	13248	68175	905	60781	730	49830	102
"9-D22AM"	76921	12703	73395	10636	73032	1222	69774	996	61885	147
"9-D1PM"	76999	17299	70206	13629	69811	857	63405	685	52404	127
"2-D31PM"	77089	16109	72452	12933	72156	1427	67606	1212	55995	103
"3-D50AM"	77106	12665	72118	9842	71858	1113	67808	908	56962	102
"10-D35AM"	77297	15104	72623	12448	72361	1155	67520	962	55675	108
"4-D36AM"	77409	20615	69879	15735	69457	1581	62343	1284	48814	119
"10-D53"	77420	16441	72987	13602	72674	1072	65505	893	53926	110
"5-D50PM"	77529	16574	71135	13107	70856	1186	62693	956	47869	76
"10-D23AM"	77589	14430	73039	11082	72585	1042	69520	845	64009	128
"7-D29AM"	77589	14477	73473	11872	73180	1074	68974	902	57851	121
"4-D43PM"	77656	17146	72581	13638	72298	1180	65718	987	49621	50
"8-D22PM"	77680	14699	72997	12155	72642	1059	68039	849	60273	135
"10-D51PM"	77708	12891	73042	10400	72950	784	67745	656	59368	82
"10-D1PM"	77717	18378	69899	14421	69460	872	59987	675	48170	117
"6-D63"	77974	14408	74439	11542	74141	994	68199	848	51090	91
"1-D3PM"	77977	16244	69663	12392	69402	1168	61192	830	50262	109
"3-D36AM"	78161	20890	71826	16432	71511	1500	63863	1243	48599	95
"10-D58PM"	78174	13891	74205	11042	73924	942	66864	773	51705	86
"2-D35PM"	78185	17706	73419	14277	73133	1454	67494	1252	54562	112
"8-D51PM"	78393	14454	72863	11463	72775	891	66562	705	58111	83
"8-D62"	78429	13586	74401	10588	74171	1020	68194	853	56819	92
"6-D11"	78456	15743	74511	13181	74228	1170	69704	998	58158	114
"7-D54"	78601	15022	73567	12105	73305	1034	65571	848	56331	117
"5-D3PM"	78670	16451	69772	12403	69609	933	59681	659	50932	108
"5-D7"	78755	17929	71131	14000	70707	1335	63498	1020	51610	122
"M2-D8-1B"	78989	14731	74746	11355	74319	1165	71210	979	60926	116
"7-D28AM"	79134	14069	75007	11637	74713	967	70711	793	61186	103
"M2-D8-1A"	79141	15287	74743	11793	74341	1152	71177	958	60287	113
"4-D29AM"	79150	18212	73505	14850	73178	1463	67552	1241	55558	123
"5-D43AM"	79290	16889	72199	12138	71971	765	65931	652	51631	50
"8-D44PM"	79443	13376	75211	10272	75128	607	71287	519	61829	41
"5-D23AM"	79525	15658	75409	13182	74980	1163	70587	971	60891	140
"5-D10"	79536	20717	73995	16721	73560	1549	67379	1276	53682	124
"7-D52AM"	79556	13059	74336	10370	74233	800	68736	648	60303	81
"2-D43PM"	79642	16450	74956	13275	74717	1005	67740	853	51428	61
"7-D50PM"	79694	15540	75248	12778	75033	971	69180	804	56331	83
"6-D7"	79729	16351	71354	12798	71123	1150	63051	858	52234	107
"3-D42AM"	79820	16062	71912	11615	71717	1024	65369	791	53372	63
"9-D61"	80002	15026	74910	11013	74672	845	69239	702	57197	97
"10-D9"	80017	16082	74608	13064	74334	1050	69291	894	57595	108
"9-D28PM"	80237	14188	76387	11752	75972	1011	72222	814	64812	143
"4-D59AM"	80254	10796	77483	8842	77125	936	70157	761	56786	93
"M2-D9-3B"	80303	12758	76458	9823	76130	989	73695	850	65186	123
"2-D52AM"	80481	15957	71007	11296	70834	828	60703	610	52112	84
"9-D30AM"	80503	13865	75497	11119	75370	878	70065	710	60926	114
"9-D8"	80508	16414	75298	13524	75010	1139	70089	947	57566	95
"2-D33"	80515	22479	74209	17596	73759	1490	66287	1284	51600	117
"2-D45PM"	80559	12953	77596	10979	77425	984	72378	827	56441	62
"2-D32"	80582	17211	75210	14109	74862	1628	69384	1363	54943	140
"7-D2AM"	80655	15778	73374	12337	73134	937	67247	750	56392	128
"9-D50PM"	80721	15533	75807	12349	75630	978	70568	834	57059	82
"4-D60PM"	80752	14314	77014	11405	76652	1030	70789	874	57985	104
"2-D44PM"	80791	17970	75656	14402	75437	1085	68427	937	50780	64
"3-D45AM"	80824	15173	76359	12249	76183	1066	69652	879	54925	62
"6-D25"	80847	14062	77016	11870	76623	1122	73203	944	63016	116
"8-D31PM"	80858	14256	76341	11769	76133	1115	71675	934	59145	109
"8-D3AM"	80939	14508	72985	11305	72772	992	66577	749	58024	140
"M2-D10-1A"	81221	16092	75742	11936	75428	1084	71373	915	60596	119
"6-D60PM"	81223	12757	77397	9807	77154	794	72454	663	60008	75
"3-D35PM"	81238	22795	74979	18090	74569	1565	66873	1306	50278	120
"5-D35PM"	81245	18123	75252	14671	74773	1109	68550	908	55190	113
"4-D38"	81327	17699	69672	12290	69388	909	61854	691	53923	70
"6-D2AM"	81382	17624	73746	13763	73527	904	67168	718	56251	131
"8-D43PM"	81481	13441	76475	9846	76423	510	72288	422	63481	41
"7-D22PM"	81491	15415	75846	12519	75412	1122	70405	895	62119	138
"4-D39"	81636	20408	74130	14582	73751	964	68310	807	54831	69
"8-D8"	81920	16654	76960	13549	76706	1065	71990	891	57895	89
"8-D22AM"	82029	14211	78173	11922	77762	1221	74115	1030	63339	130
"M2-D9-1B"	82071	14521	77664	11025	77292	1117	74086	935	63157	113
"1-D7"	82162	20328	73988	15946	73543	1394	64818	1071	50613	127
"6-D45AM"	82201	11680	78171	8992	78078	737	74920	623	65117	59
"3-D16"	82273	19868	57072	12127	56893	1114	44247	689	37768	88
"6-D42AM"	82408	12611	75689	9142	75589	743	72086	621	62777	51
"9-D39"	82466	11281	74994	7781	74912	543	71728	440	66663	55
"7-D10"	82795	17109	78279	14287	77962	1166	72634	983	60768	117
"10-D44AM"	82865	11553	78373	8651	78331	517	74919	417	67714	33
"6-D4AM"	82878	16986	74921	13261	74556	1097	67558	827	56870	118
"8-D29AM"	83226	15212	78084	12418	77866	1053	73065	874	59047	109
"2-D31AM"	83269	22275	76423	17487	76078	1525	68497	1305	54374	112
"1-D6"	83283	20684	75815	16322	75388	1328	67614	1057	54225	124
"10-D52AM"	83382	13543	77978	10877	77846	860	71960	689	62637	79
"2-D42AM"	83523	15635	74860	11576	74627	1015	69734	861	56377	70
"7-D62"	83537	14458	79573	11325	79308	1090	73799	911	60930	101
"7-D59PM"	83667	15126	79227	11709	78923	1004	72675	866	59598	86
"6-D37AM"	83712	15794	74451	11899	74322	726	66868	544	58541	68
"3-D2AM"	83720	18695	75838	14599	75543	912	66671	723	56436	104
"4-D37PM"	83756	19864	75031	14788	74781	1126	66499	901	56386	79
"5-D22PM"	83805	18761	77808	15019	77227	1442	71392	1132	62499	158
"8-D9"	83836	17597	78619	14462	78339	1174	72623	984	60257	121
"10-D42AM"	83914	14103	76079	9466	75939	667	72045	542	61149	45
"8-D28AM"	83922	16551	79707	13885	79278	1060	74466	878	62477	121
"8-D60AM"	84027	14116	80755	11501	80425	1153	75694	997	60303	96
"4-D2PM"	84037	15891	77130	12515	76833	964	70305	756	59559	95
"3-D51PM"	84065	13972	78761	11116	78374	1080	73465	891	61801	105
"6-D3AM"	84304	15426	76429	12087	76159	956	68974	734	59429	128
"5-D61"	84425	18007	78846	13846	78478	1396	69836	1176	53792	93
"8-D31AM"	84512	16595	78661	13382	78416	1088	72536	887	60755	117
"3-D45PM"	84528	15882	80646	12803	80399	1135	75402	964	58878	69
"4-D50AM"	84579	17136	80292	14142	79831	1495	72549	1236	55351	102
"2-D47"	84620	16790	80689	13739	80389	1421	74907	1209	57126	85
"9-D33"	84669	13918	79791	11301	79594	1124	75679	939	64067	112
"4-D36PM"	84682	19209	78306	15198	77884	1436	71381	1188	57872	113
"10-D24"	84708	12578	80552	10214	80215	928	77504	778	67929	119
"5-D4AM"	84754	20238	75561	15533	75140	1284	65853	952	54029	133
"5-D38"	84889	15997	75856	11002	75661	819	70205	672	60825	57
"10-D43PM"	84931	12342	80381	9210	80323	517	76664	429	68571	39
"5-D42AM"	84978	16531	75743	11749	75472	930	67807	781	54749	59
"7-D61"	85173	16278	80192	12351	79933	1014	73421	840	61222	85
"9-D35AM"	85219	15666	80369	13085	80021	1236	75149	1037	60872	115
"8-D57PM"	85267	17074	79312	12447	79033	976	71110	763	58670	105
"4-D62"	85280	17058	80026	13111	79652	1133	72688	956	57805	99
"6-D45PM"	85612	12208	80995	9192	80885	805	77351	670	66034	59
"8-D52AM"	85628	14740	79177	11671	79058	893	72423	692	63508	94
"10-D35PM"	85694	18764	79652	15221	79341	1195	72905	966	59214	103
"9-D9"	85804	16917	80432	13963	80140	1166	74643	974	62339	108
"9-D3PM"	86024	15068	76889	11368	76732	799	68719	569	61923	110
"10-D2AM"	86173	15672	79087	12427	78778	1000	73119	808	62477	136
"9-D2AM"	86323	16437	78849	12850	78589	940	72854	770	60429	119
"10-D39"	86381	12133	78040	8479	77947	640	74158	529	67655	49
"4-D53"	86405	14965	81340	11965	81013	1089	74646	916	62736	96
"7-D3PM"	86548	15603	77115	11704	76988	747	68471	515	60910	103
"9-D59PM"	86562	16764	81620	12910	81320	1003	74756	835	57665	95
"6-D28AM"	86578	16242	80408	12890	80046	989	74169	794	63948	106
"9-D4AM"	86676	16714	77752	12922	77491	993	69530	751	58604	121
"7-D42PM"	86687	15011	81650	11292	81505	786	77367	678	66029	59
"M2-D10-1B"	86852	16929	81358	12767	80959	1222	76761	1014	65378	121
"9-D7"	86922	17562	79619	14002	79369	1215	73503	991	60988	118
"10-D33"	87078	16369	80462	13061	80136	1156	74332	956	60289	113
"9-D42PM"	87100	16222	81685	11852	81550	766	77997	666	64937	43
"10-D47"	87176	13643	83159	10817	82963	959	79271	802	65819	85
"10-D37AM"	87214	15241	74716	10722	74579	615	67137	463	60133	56
"M2-D9-2B"	87309	14898	82581	11291	82228	1096	78770	908	68314	115
"1-D2PM"	87366	17812	80122	13707	79564	959	73784	750	61870	105
"6-D44AM"	87381	16623	81470	12454	81295	819	76155	709	62424	55
"7-D37AM"	87450	16788	78390	12353	78278	648	71438	511	62359	68
"5-D42PM"	87551	16996	79036	11873	78791	805	71653	695	57555	54
"7-D51PM"	87908	11630	83546	9449	83450	901	79633	754	68243	76
"3-D5"	87911	18752	80908	15327	80330	1462	71552	1149	56346	141
"5-D37AM"	87930	16566	78508	11709	78366	614	70002	479	64439	53
"4-D31PM"	88074	20421	80922	16260	80449	1701	72564	1370	56747	118
"7-D30AM"	88210	15154	80004	11537	79882	824	72172	628	62571	105
"4-D45PM"	88225	15250	84484	12560	84260	1151	79220	998	61950	71
"6-D50AM"	88252	14227	84284	11590	84074	1083	79542	900	66825	84
"M2-D10-2B"	88279	17028	81970	12543	81565	1207	76215	959	65902	120
"8-D51AM"	88423	13308	82164	10605	81970	1136	75976	895	64205	91
"3-D43PM"	88436	22790	81894	17608	81491	1399	71645	1196	50350	72
"9-D42AM"	88623	14874	81111	10436	80970	681	76899	583	65161	48
"2-D37PM"	88624	16012	80726	11495	80619	748	74389	588	65813	58
"5-D31AM"	88652	24515	80563	19103	80091	1663	71693	1394	55642	126
"10-D32"	88665	19890	82464	16292	82199	1152	75058	961	61336	97
"4-D61"	88730	17156	83060	12811	82637	1085	74910	897	60166	98
"7-D5"	88810	18562	81178	14636	80899	1164	74308	943	61279	117
"2-D10"	88844	22654	81416	17789	80935	1467	73784	1195	58990	136
"3-D47"	88978	16855	85055	14036	84697	1466	78811	1244	61388	109
"2-D2AM"	89034	20517	80583	16211	80337	983	69889	755	57941	108
"7-D35PM"	89038	19023	81351	14989	81086	1205	74282	972	61382	107
"6-D42PM"	89042	15170	83328	11388	83183	821	78682	699	66091	55
"8-D61"	89121	15225	84347	11536	84088	1088	79019	926	66186	94
"8-D2AM"	89123	17514	81750	14000	81441	956	75336	759	63300	139
"6-D35AM"	89162	14953	84450	12192	84269	1147	79632	959	66167	96
"M2-D10-3A"	89381	16679	83625	12306	83340	1122	79301	935	67661	108
"8-D42PM"	89662	14841	84586	10660	84491	528	81369	486	69069	37
"9-D43AM"	89744	17005	84024	12557	83902	715	79270	625	65750	43
"9-D28AM"	89837	22425	85891	19530	85028	1191	78091	1000	62853	143
"8-D29PM"	89978	19569	83603	15729	83303	1086	76933	912	60763	117
"4-D33"	90072	22433	82861	17731	82550	1487	73888	1229	59179	120
"8-D4PM"	90449	15713	83868	12653	83561	1155	77527	919	65415	133
"2-D21AM"	90455	23188	83913	18931	83382	1669	75911	1347	58562	155
"M2-D8-2A"	90652	16147	85907	12383	85468	1204	81757	1016	70075	121
"6-D43PM"	90715	13460	85456	10174	85297	789	80966	643	69501	50
"7-D53"	90761	17253	85126	14136	84834	1071	76949	877	63716	96
"M2-D9-1A"	90845	15704	86149	12027	85706	1132	82254	981	70586	123
"8-D37PM"	90996	16344	81815	12027	81642	700	74383	551	66421	68
"3-D4PM"	91206	21076	83881	17068	83239	1457	75116	1184	58988	133
"10-D5"	91279	18660	83477	14708	83235	1094	76072	850	65448	134
"3-D30AM"	91556	20704	84944	16474	84631	1563	77563	1329	61644	112
"M2-D8-3A"	91712	16573	86881	12775	86488	1220	81955	1037	68904	119
"5-D39"	91824	18823	84109	12706	83805	768	79185	675	68500	60
"7-D3AM"	91841	15831	82836	12064	82646	891	75230	673	64611	109
"4-D45AM"	91845	15652	86928	12584	86797	986	80592	841	65596	65
"5-D6"	91927	21825	83742	17378	83281	1579	72024	1254	56823	157
"5-D5"	92055	23120	83345	18102	82774	1384	73401	1094	59065	141
"7-D36AM"	92085	14420	85338	11280	85198	904	80514	745	68351	97
"9-D31PM"	92181	15330	87493	12650	87166	1135	82774	956	68425	118
"4-D29PM"	92303	23754	83275	18552	82771	1678	72322	1348	56308	121
"8-D53"	92401	18305	84852	14563	84546	1140	74965	878	62337	102
"3-D4AM"	92470	19689	81248	14786	81006	1149	67892	782	58161	122
"6-D30PM"	92558	14875	86264	11743	86140	908	80939	743	70137	101
"4-D47"	92629	16312	88851	13748	88480	1348	82238	1152	62813	84
"7-D1PM"	92704	22600	83945	17491	83411	841	74978	668	63239	121
"6-D57AM"	92976	13957	88317	10803	88007	918	79641	752	68591	92
"5-D4PM"	92978	19214	85918	15531	85345	1357	77774	1095	61734	140
"3-D38"	93015	20738	83613	15535	83306	1189	74576	928	62075	77
"6-D6"	93156	17770	85587	14090	85355	1151	79337	925	66199	108
"7-D51AM"	93222	13434	89045	11109	88800	1090	84192	913	69681	82
"M2-D8-2B"	93297	17268	87639	13099	87161	1278	81771	1023	69651	114
"9-D37AM"	93318	17195	81604	12605	81509	649	72655	466	64997	62
"2-D7"	93392	22684	84268	17704	83728	1460	74569	1129	59409	147
"6-D29PM"	93594	19786	87771	16211	87450	1202	80426	1006	64883	116
"9-D18"	93852	20529	87462	16877	87204	1247	80470	1038	64842	109
"10-D60PM"	93891	14769	90412	12193	90051	1173	83959	981	66726	100
"8-D3PM"	94124	16960	84143	12815	83964	830	75199	610	67373	125
"2-D39"	94137	23436	84050	16869	83723	1000	75671	822	63307	63
"5-D46"	94290	18716	88647	15298	88407	972	81050	843	63112	70
"7-D33"	94622	17732	88680	14446	88386	1178	82712	997	66299	100
"10-D50AM"	94781	16511	89948	13354	89729	954	84229	811	69415	79
"10-D3AM"	94821	17027	84327	12718	84105	938	76443	682	66351	120
"6-D5"	94904	19374	86530	15136	86228	1107	79301	912	66884	112
"6-D36PM"	94973	15007	87555	11724	87411	995	81279	803	68278	79
"5-D36PM"	94993	14881	86942	11242	86667	854	81027	703	69721	70
"4-D37AM"	95029	21074	84709	15655	84488	1126	74398	872	63178	81
"6-D30AM"	95099	14902	89137	11790	88988	901	83725	717	74372	103
"7-D43AM"	95190	16856	89698	12942	89499	872	84303	734	69895	57
"3-D36PM"	95217	22716	89191	18387	88694	1656	80759	1395	62004	111
"10-D60AM"	95303	15895	91341	12942	90909	1151	83432	968	67287	106
