"sample_Forward reads"	"raw.all_Forward reads"	"raw.Uniq_Forward reads"	"afterTrim.all_Forward reads"	"afterTrim.Uniq_Forward reads"	"afterDenoise.all_Forward reads"	"afterDenoise.Uniq_Forward reads"	"afterMerge.all_Forward reads"	"afterMerge.Uniq_Forward reads"	"afterBimera.all_Forward reads"	"afterBimera.Uniq_Forward reads"
"7-D29PM"	108402	49951	102111	24139	101933	674	94163	1041	76739	127
"8-D11"	108521	84230	96291	45689	95830	456	86144	833	73275	101
"8-D39"	108853	43814	100372	18970	100208	267	95383	468	85470	43
"6-D38"	109052	46528	100275	22222	100091	393	92534	627	81278	62
"8-D5"	109258	70458	98370	34294	97877	583	86890	951	73080	131
"7-D45PM"	109556	39536	104410	18529	104235	477	99297	838	82457	79
"9-D46"	110031	46404	103317	22827	103149	496	96142	848	78923	68
"8-D4AM"	110124	90132	95707	49892	94819	435	81974	780	69938	124
"6-D39"	110136	52359	100393	24847	100147	365	92487	622	80670	59
"2-D14"	110195	88323	98737	50288	98402	682	86317	1139	68830	122
"10-D44PM"	110201	34702	104357	15080	104215	385	99614	659	84858	48
"2-D4AM"	110487	86717	96671	45102	96249	489	83147	786	72250	112
"M2-D9-3A"	110523	59748	104897	23839	104628	736	100090	1067	86821	128
"9-D64PM"	110807	45761	104098	20964	103872	611	95601	1005	76333	111
"2-D36PM"	110847	53227	103440	24451	103270	806	95743	1212	78127	94
"7-D39"	111281	54973	99752	25872	99526	389	92263	669	79777	67
"10-D2PM"	111288	53724	102734	23250	102480	535	96794	892	81973	137
"7-D46"	111540	40392	105391	20560	105227	502	98104	864	80358	88
"1-D5"	112199	47564	103666	20206	103432	884	95122	1294	73435	122
"9-D6"	112303	72745	101007	34732	100396	580	90299	979	73584	117
"2-D46"	112325	60455	105687	30016	105477	603	92929	1018	70500	78
"6-D31AM"	113039	46382	106733	22090	106531	695	98647	1067	81235	114
"9-D30PM"	113412	47622	107081	23146	106886	676	98774	1061	80201	125
"10-D36AM"	113628	57078	104623	27484	104391	556	97679	942	79874	94
"8-D36PM"	113839	55745	104539	25851	104284	498	98415	799	82723	90
"9-D36AM"	114949	72916	103742	37657	103439	627	94707	1045	76527	128
"8-D33"	115596	47896	108682	22852	108504	552	102028	950	84727	107
"7-D21PM"	115599	64809	107528	30477	107223	701	99948	1139	81519	120
"8-D64PM"	116124	49810	109357	23507	109130	666	100396	1085	80078	107
"5-D16"	116287	95965	101399	54585	101008	609	85695	1051	72435	127
"8-D50AM"	117085	61530	109262	30547	108915	581	100590	1001	83646	86
"9-D35PM"	117465	56584	108867	28123	108638	752	99285	1184	78358	119
"8-D64AM"	117929	61521	111781	30313	111418	581	102301	1009	84578	92
"6-D35PM"	117982	71970	107351	37261	107086	638	96243	1091	76804	105
"6-D47"	118008	44057	112558	21512	112392	550	106642	934	88533	82
"9-D36PM"	118837	69215	106947	35097	106653	383	96357	645	81899	90
"10-D38"	119201	54922	107596	26302	107330	389	98631	653	86834	60
"10-D18"	119332	53188	111736	25173	111512	735	103446	1166	83190	113
"6-D37PM"	120290	88716	103867	46066	103373	413	89384	671	76076	68
"6-D44PM"	120358	45902	112914	22399	112734	445	105431	775	86657	53
"5-D21AM"	121720	72320	112504	35389	112194	935	100749	1392	83660	147
"9-D38"	121796	68827	107247	32849	106849	368	97342	619	87037	65
"9-D47"	121919	43214	116224	20579	116049	594	110470	994	90859	86
"10-D45PM"	121947	43624	115089	21355	114919	446	107025	781	86813	63
"10-D42PM"	122069	40402	114665	17603	114481	363	109512	666	91906	42
"3-D33"	122713	64051	112789	27765	112455	1145	100013	1702	71118	135
"4-D14"	122832	99073	108295	55122	107891	740	94644	1178	74775	117
"5-D21PM"	122868	85485	111742	43741	111416	920	98066	1427	78930	143
"5-D18"	123023	85733	111067	44895	110627	951	95321	1462	74763	154
"9-D14"	124160	102777	106926	56051	106315	394	94094	689	83238	97
"M2-D9-2A"	124952	54760	118720	21153	118425	911	112922	1250	92780	133
"6-D52AM"	125096	57341	116723	28943	116469	458	107733	766	94140	85
"10-D46"	125357	48357	118829	23465	118622	530	111210	911	90888	84
"8-D7"	125468	83577	114058	38843	113494	551	104583	1004	87172	117
"7-D6"	125725	82498	113238	39154	112690	550	102743	968	84477	113
"5-D47"	125800	67528	117412	32461	117103	709	107546	1215	83215	79
"9-D16"	125987	112747	100531	65275	99651	389	85992	727	73568	89
"9-D11"	126869	96318	113526	52063	113068	563	101242	986	83633	101
"7-D36PM"	126910	67881	115136	31886	114805	515	108066	835	89189	87
"10-D16"	127559	111043	105334	63861	104487	362	92003	720	80045	87
"4-D21PM"	128407	93308	116171	47249	115720	878	102801	1333	83860	155
"6-D21PM"	128507	74676	119453	35841	119139	680	109564	1151	89262	122
"9-D5"	128545	67528	117582	31297	117164	711	106514	1132	86938	128
"2-D16"	128691	104575	113706	59598	113291	589	99682	963	83260	126
"5-D33"	129649	75661	115032	36629	114649	638	103571	934	80262	128
"3-D18"	130278	66032	121553	30028	121184	1015	110397	1496	89445	152
"8-D36AM"	131546	58988	122074	28068	121824	575	115204	960	94092	97
"8-D16"	131811	103375	116635	55228	116173	490	105129	857	91086	115
"10-D6"	132602	105004	117109	55417	116219	579	101575	1003	84114	121
"7-D14"	137739	115458	117262	65732	116555	499	102125	920	84379	98
