sampleID	subject	time
4-D0AM	4	0.0
4-D0PM	4	0.5
4-D10	4	10.0
4-D11	4	11.0
4-D14	4	14.0
4-D16	4	16.0
4-D18	4	18.0
4-D1AM	4	1.0
4-D1PM	4	1.5
4-D21AM	4	21.0
4-D21PM	4	21.5
4-D22AM	4	22.0
4-D22PM	4	22.5
4-D23AM	4	23.0
4-D23PM	4	23.5
4-D24	4	24.0
4-D25	4	25.0
4-D28AM	4	28.0
4-D29AM	4	29.0
4-D29PM	4	29.5
4-D2AM	4	2.0
4-D2PM	4	2.5
4-D30AM	4	30.0
4-D30PM	4	30.5
4-D31AM	4	31.0
4-D31PM	4	31.5
4-D32	4	32.0
4-D33	4	33.0
4-D35AM	4	35.0
4-D35PM	4	35.5
4-D36AM	4	36.0
4-D36PM	4	36.5
4-D37AM	4	37.0
4-D37PM	4	37.5
4-D38	4	38.0
4-D39	4	39.0
4-D3AM	4	3.0
4-D3PM	4	3.5
4-D42AM	4	42.0
4-D42PM	4	42.5
4-D43AM	4	43.0
4-D43PM	4	43.5
4-D44AM	4	44.0
4-D44PM	4	44.5
4-D45AM	4	45.0
4-D45PM	4	45.5
4-D46	4	46.0
4-D47	4	47.0
4-D4AM	4	4.0
4-D4PM	4	4.5
4-D5	4	5.0
4-D50AM	4	50.0
4-D50PM	4	50.5
4-D51AM	4	51.0
4-D51PM	4	51.5
4-D52AM	4	52.0
4-D52PM	4	52.5
4-D53	4	53.0
4-D54	4	54.0
4-D57AM	4	57.0
4-D57PM	4	57.5
4-D58AM	4	58.0
4-D58PM	4	58.5
4-D59AM	4	59.0
4-D59PM	4	59.5
4-D6	4	6.0
4-D60AM	4	60.0
4-D60PM	4	60.5
4-D61	4	61.0
4-D62	4	62.0
4-D63	4	63.0
4-D64AM	4	64.0
4-D64PM	4	64.5
4-D7	4	7.0
4-D8	4	8.0
4-D9	4	9.0
5-D0AM	5	0.0
5-D0PM	5	0.5
5-D10	5	10.0
5-D11	5	11.0
5-D14	5	14.0
5-D16	5	16.0
5-D18	5	18.0
5-D1AM	5	1.0
5-D1PM	5	1.5
5-D21AM	5	21.0
5-D21PM	5	21.5
5-D22AM	5	22.0
5-D22PM	5	22.5
5-D23AM	5	23.0
5-D23PM	5	23.5
5-D24	5	24.0
5-D25	5	25.0
5-D28AM	5	28.0
5-D28PM	5	28.5
5-D29AM	5	29.0
5-D29PM	5	29.5
5-D2AM	5	2.0
5-D2PM	5	2.5
5-D30AM	5	30.0
5-D30PM	5	30.5
5-D31AM	5	31.0
5-D31PM	5	31.5
5-D32	5	32.0
5-D33	5	33.0
5-D35AM	5	35.0
5-D35PM	5	35.5
5-D36AM	5	36.0
5-D36PM	5	36.5
5-D37AM	5	37.0
5-D37PM	5	37.5
5-D38	5	38.0
5-D39	5	39.0
5-D3AM	5	3.0
5-D3PM	5	3.5
5-D42AM	5	42.0
5-D42PM	5	42.5
5-D43AM	5	43.0
5-D43PM	5	43.5
5-D44AM	5	44.0
5-D44PM	5	44.5
5-D45AM	5	45.0
5-D45PM	5	45.5
5-D46	5	46.0
5-D47	5	47.0
5-D4AM	5	4.0
5-D4PM	5	4.5
5-D5	5	5.0
5-D50AM	5	50.0
5-D50PM	5	50.5
5-D51AM	5	51.0
5-D51PM	5	51.5
5-D52AM	5	52.0
5-D52PM	5	52.5
5-D53	5	53.0
5-D54	5	54.0
5-D57AM	5	57.0
5-D57PM	5	57.5
5-D58AM	5	58.0
5-D58PM	5	58.5
5-D59AM	5	59.0
5-D59PM	5	59.5
5-D6	5	6.0
5-D60AM	5	60.0
5-D60PM	5	60.5
5-D61	5	61.0
5-D62	5	62.0
5-D63	5	63.0
5-D64AM	5	64.0
5-D64PM	5	64.5
5-D7	5	7.0
5-D8	5	8.0
5-D9	5	9.0
6-D0AM	6	0.0
